Date;Investor;Type;Trans;Volume;TurnOver
05/04/2011;Foreigners;institutions;Buy;14052917;278036209
05/04/2011;Foreigners;institutions;Sell;15997135;288726287
05/04/2011;Arabs;Retail;Buy;2431121;10183376
05/04/2011;Arabs;Retail;Sell;1226511;8612751
05/04/2011;Arabs;institutions;Buy;1158614;13320840
05/04/2011;Arabs;institutions;Sell;6097729;28336462
05/04/2011;Egyptians;Retail;Buy;47097188;223557170
05/04/2011;Egyptians;Retail;Sell;41785292;210287171
05/04/2011;Egyptians;institutions;Buy;4421779;43582775
05/04/2011;Egyptians;institutions;Sell;4380498;30805289
05/05/2011;Foreigners;Retail;Buy;96462;1906988
05/05/2011;Foreigners;Retail;Sell;90471;1676400
05/05/2011;Foreigners;institutions;Buy;15214995;265458270
05/05/2011;Foreigners;institutions;Sell;16508576;267282592
05/05/2011;Arabs;Retail;Buy;1429477;5244696
05/05/2011;Arabs;Retail;Sell;1004860;2938590
05/05/2011;Arabs;institutions;Buy;1512462;15102330
05/05/2011;Arabs;institutions;Sell;3293642;24699640
05/05/2011;Egyptians;Retail;Buy;36958869;182161895
05/05/2011;Egyptians;Retail;Sell;34369766;183625331
05/05/2011;Egyptians;institutions;Buy;3024548;31821068
05/05/2011;Egyptians;institutions;Sell;2969498;21472696
05/08/2011;Foreigners;Retail;Buy;34592;383540
05/08/2011;Foreigners;Retail;Sell;421522;910309
05/08/2011;Foreigners;institutions;Buy;5219100;91336505
05/08/2011;Foreigners;institutions;Sell;5944089;92042897
05/08/2011;Arabs;Retail;Buy;1349348;4961492
05/08/2011;Arabs;Retail;Sell;1023913;6375467
05/08/2011;Arabs;institutions;Buy;851693;6826665
05/08/2011;Arabs;institutions;Sell;2278006;13986246
05/08/2011;Egyptians;Retail;Buy;32353711;167728671
05/08/2011;Egyptians;Retail;Sell;32178361;166036884
05/08/2011;Egyptians;institutions;Buy;3683855;22888169
05/08/2011;Egyptians;institutions;Sell;1646408;14773238
05/09/2011;Foreigners;Retail;Buy;137785;597948
05/09/2011;Foreigners;Retail;Sell;76760;1049537
05/09/2011;Foreigners;institutions;Buy;13644817;203045156
05/09/2011;Foreigners;institutions;Sell;13601434;174960943
05/09/2011;Arabs;Retail;Buy;1214147;5988282
05/09/2011;Arabs;Retail;Sell;876402;6024972
05/09/2011;Arabs;institutions;Buy;353983;6696091
05/09/2011;Arabs;institutions;Sell;3644453;24140256
05/09/2011;Egyptians;Retail;Buy;37717042;195409530
05/09/2011;Egyptians;Retail;Sell;35848838;202506849
05/09/2011;Egyptians;institutions;Buy;4326974;23477893
05/09/2011;Egyptians;institutions;Sell;3346861;26532344
05/10/2011;Foreigners;Retail;Buy;217051;896016
05/10/2011;Foreigners;Retail;Sell;501432;2216422
05/10/2011;Foreigners;institutions;Buy;16702016;266497778
05/10/2011;Foreigners;institutions;Sell;16490555;259719685
05/10/2011;Arabs;Retail;Buy;2055974;6912798
05/10/2011;Arabs;Retail;Sell;1771764;6356318
05/10/2011;Arabs;institutions;Buy;735611;7302451
05/10/2011;Arabs;institutions;Sell;857224;13392462
05/10/2011;Egyptians;Retail;Buy;43039486;227008961
05/10/2011;Egyptians;Retail;Sell;43618780;227323410
05/10/2011;Egyptians;institutions;Buy;3829641;30031378
05/10/2011;Egyptians;institutions;Sell;3340024;29641085
05/11/2011;Foreigners;Retail;Buy;310113;864667
05/11/2011;Foreigners;Retail;Sell;708883;2836553
05/11/2011;Foreigners;institutions;Buy;10307718;151172115
05/11/2011;Foreigners;institutions;Sell;9985104;163208622
05/11/2011;Arabs;Retail;Buy;2781152;13412524
05/11/2011;Arabs;Retail;Sell;3294871;14530400
05/11/2011;Arabs;institutions;Buy;2377525;28180641
05/11/2011;Arabs;institutions;Sell;758562;5694719
05/11/2011;Egyptians;Retail;Buy;49286508;229729321
05/11/2011;Egyptians;Retail;Sell;56117995;256596882
05/11/2011;Egyptians;institutions;Buy;11101143;73418272
05/11/2011;Egyptians;institutions;Sell;5298744;53910364
05/12/2011;Foreigners;Retail;Buy;279047;730596
05/12/2011;Foreigners;Retail;Sell;553340;1356639
05/12/2011;Foreigners;institutions;Buy;8643205;121458577
05/12/2011;Foreigners;institutions;Sell;16157620;181975615
05/12/2011;Arabs;Retail;Buy;2578388;26909814
05/12/2011;Arabs;Retail;Sell;1383874;10753842
05/12/2011;Arabs;institutions;Buy;2539091;13754677
05/12/2011;Arabs;institutions;Sell;489673;2776433
05/12/2011;Egyptians;Retail;Buy;50859831;270629842
05/12/2011;Egyptians;Retail;Sell;51858944;273567179
05/12/2011;Egyptians;institutions;Buy;9502315;69354873
05/12/2011;Egyptians;institutions;Sell;3958426;32408670
15/05/2011;Foreigners;Retail;Buy;360200;1809368
15/05/2011;Foreigners;Retail;Sell;321639;1107845
15/05/2011;Foreigners;institutions;Buy;2513412;31757069
15/05/2011;Foreigners;institutions;Sell;4816468;45317787
15/05/2011;Arabs;Retail;Buy;1826846;9227448
15/05/2011;Arabs;Retail;Sell;2417920;9688319
15/05/2011;Arabs;institutions;Buy;1050722;5428187
15/05/2011;Arabs;institutions;Sell;631599;2297158
15/05/2011;Egyptians;Retail;Buy;73837499;289678253
15/05/2011;Egyptians;Retail;Sell;73881975;289413572
15/05/2011;Egyptians;institutions;Buy;6692290;29165584
15/05/2011;Egyptians;institutions;Sell;4211368;19241229
16/05/2011;Foreigners;Retail;Buy;576835;1886352
16/05/2011;Foreigners;Retail;Sell;692334;3041315
16/05/2011;Foreigners;institutions;Buy;17010330;262224862
16/05/2011;Foreigners;institutions;Sell;17562967;270143143
16/05/2011;Arabs;Retail;Buy;1663475;12894151
16/05/2011;Arabs;Retail;Sell;1480992;6912510
16/05/2011;Arabs;institutions;Buy;3653792;21655461
16/05/2011;Arabs;institutions;Sell;1384319;15186567
16/05/2011;Egyptians;Retail;Buy;63441635;314085951
16/05/2011;Egyptians;Retail;Sell;68952836;334752664
16/05/2011;Egyptians;institutions;Buy;7696170;45737163
16/05/2011;Egyptians;institutions;Sell;3968789;28447742
17/05/2011;Foreigners;Retail;Buy;1238174;2417874
17/05/2011;Foreigners;Retail;Sell;417698;1470979
17/05/2011;Foreigners;institutions;Buy;10676885;150542795
17/05/2011;Foreigners;institutions;Sell;15748410;161284726
17/05/2011;Arabs;Retail;Buy;2483388;19509474
17/05/2011;Arabs;Retail;Sell;2405823;15059894
17/05/2011;Arabs;institutions;Buy;10250019;44265097
17/05/2011;Arabs;institutions;Sell;2094557;19645609
17/05/2011;Egyptians;Retail;Buy;73235231;307442864
17/05/2011;Egyptians;Retail;Sell;83723406;343332162
17/05/2011;Egyptians;institutions;Buy;10551675;44473700
17/05/2011;Egyptians;institutions;Sell;4045478;27858434
18/05/2011;Foreigners;Retail;Buy;1244006;2612019
18/05/2011;Foreigners;Retail;Sell;432189;2059820
18/05/2011;Foreigners;institutions;Buy;15534538;188315429
